name,has_test,address,created_at,insider_interview,alternate_url,employer,schedule,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Разработчик SQL,False,Москва,2024-07-01 09:35,null,https://hh.ru/vacancy/101340347,ИТС,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Технологичиский стек: SQL Server, SSAS tabular, SSRS, SSIS. Уверенное владение языками SQL/T-SQL и DAX. Желателен опыт работы с...","...аналитической отчетности, включая: Проектирование ETL. Оптимизация существующих хранимых процедур. Поддержка и развитие <highlighttext>ETL</highlighttext>-решений на базе SSIS. <highlighttext>Разработка</highlighttext> проектной документации."
ETL-разработчик (Data Engineer),False,null,2024-07-03 16:24,null,https://hh.ru/vacancy/81864083,СберСпасибо,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Уверенные знания Python и SQL. Опыт работы с: Промышленными ETL (DBT как преимущество, SAS DI, Informatica, ODI, DataStage). ",Настроить пайплайн автоматической проверки качества данных. Написать скрипты для загрузки новых источников. Создать витрины для команды розницы и product analysis. 
"Разработчик ETL/DWH/DB, Разработчик Баз данных",False,Москва,2024-06-25 19:17,null,https://hh.ru/vacancy/102716548,Интеллектуальные решения,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,,360000,"Компания «Интеллектуальные решения» занимается разработкой и внедрением решений в области ИТ и Digital в крупнейших российских компаниях, а также активно...",Мы находимся в поиске инженера данных (middle +) для реализации следующих задач: ‒ Разработка ETL-процессов для структурированных и слабоструктурированных данных...
Python developer middle+ \senior (Airflow),False,Москва,2024-06-20 12:47,null,https://hh.ru/vacancy/102352142,«Баланс-Платформа»,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Опыт работы в роли Python Developer от 3-х лет. Опыт работы с реляционными СУБД: SQLAlchemy / Alembic / DjangoORM / SQL / PostgreSQL. ,Разработка российского ПО класса mission critical (сервиса управления бизнес-процессами (BPM) для лидеров финансового сектора на языке Python 3.9...
Аналитик Power BI,False,null,2024-07-01 16:23,null,https://hh.ru/vacancy/103066697,GlobalCareer,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,...MS Power BI. Знание российских аналогов BI cистем и их функциональных возможностей. Опыт разработки <highlighttext>ETL</highlighttext>-процессов. Опыт <highlighttext>разработки</highlighttext> на Python.,"Администрирование Power BI, создание отчетов и их изменение. Анализ и оценка доработок системы. Тестирование доработок. Анализ массивов данных. "
Дата-инженер,False,null,2024-07-08 15:31,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/103517126,Т-Банк,"{'id': 'flexible', 'name': 'Гибкий график'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Опыт работы с базами данных в качестве аналитика/разработчика от 2 лет. Опыт участия в проектах по созданию и развитию...,Системный анализ источников данных и интеграций. Системный анализ процессов работы и взаимодействия компонент платформы. Участие в формировании модели данных. 
Разработчик DWH,False,null,2024-06-18 16:48,null,https://hh.ru/vacancy/99598796,Ростелеком,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"BI-аналитик, аналитик данных",Нет опыта,Полная занятость,,60000,"PostgreSQL, PL\SQL, SQL. Знания Python, GreenPlum и Data Vault 2.0 приветствуются.","<highlighttext>ETL</highlighttext>-<highlighttext>разработка</highlighttext> (DataStage, сценарии и подписки), пересчёт данных в витрине, разработка тех.решений хранения данных в БД, оптимизация запросов, анализ данных."
Дата инженер / Data Engineer (Сбережения),False,null,2024-07-04 12:08,null,https://hh.ru/vacancy/103283039,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы в качестве Data Engineer / Data Analyst / <highlighttext>ETL</highlighttext> <highlighttext>Developer</highlighttext>. Знание SQL на продвинутом уровне (аналитические функции, подзапросы, хранимые процедуры...",Проектирование и разработка аналитических витрин данных для целей отчетности на стеке технологий Hadoop + Spark. Мониторинг и оптимизация процессов сборки...
Программист-разработчик,False,Белгород,2024-07-10 11:46,null,https://hh.ru/vacancy/103641839,"Мираторг, Агропромышленный холдинг","{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"...с MS SQL или Oracle (PL/SQL). Опыт работы с <highlighttext>ETL</highlighttext>-инструментами. Опыт в <highlighttext>разработке</highlighttext> OLAP-кубов, знание языка MDX.",Написание нового и изменение существующего программного кода. Разработка и реализация процедур обмена данными между системами. Функциональное тестирование разработанных модулей. 
Data engineer (ETL-разработчик)_У,False,null,2024-06-14 11:52,null,https://hh.ru/vacancy/101924597,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,Знание моделей и структур проектирования баз данных. Уверенное владение SQL. Базовые знания Python. Понимание процессов загрузки и обработки данных (ETL...,Создание и оптимизация пайплайнов для сбора и обработки данных. Контроль качества и актуальности данных в DWH. Автоматизация построения витрин данных. 
