name,has_test,address,created_at,insider_interview,alternate_url,employer,schedule,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Разработчик Arenadata,False,null,2024-06-19 16:35,null,https://hh.ru/vacancy/99606180,Гринатом,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Навыки проектирования и разработки DWH. Навыки проектирования и разработки ELT/<highlighttext>ETL</highlighttext>. Навыки проектирования и <highlighttext>разработки</highlighttext> интеграции с внешними системами (SAP...,"Разработка DWH, ELT/<highlighttext>ETL</highlighttext>. <highlighttext>Разработка</highlighttext> интеграционных потоков данных. Оптимизация производительности. Проведение тестирования. Оформление проектной документации. Выбор инструментов для решения технических..."
Разработчик ETL-процессов,False,Москва,2024-06-19 19:27,null,https://hh.ru/vacancy/102305281,АНО Университет Национальной Технологической Инициативы 2035,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,,200000,Опыт написания скриптов для загрузки данных из новых источников. Понимание принципов и методологии <highlighttext>ETL</highlighttext>-<highlighttext>разработки</highlighttext>. Опыт разработки ETL процессов. ,"Проектирование потоков данных. Загрузка и выгрузка данных скриптами SQL, Python. Поиск и устранение проблем в процессах обработки данных. "
Аналитик BI,False,null,2024-07-07 09:48,null,https://hh.ru/vacancy/96387673,Гринатом,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Навыки проектирования и разработки BI/DWH/<highlighttext>ETL</highlighttext>. Навыки проектирования и <highlighttext>разработки</highlighttext> интеграции с внешними системами (SAP ERP, 1C ERP...","Уточнение требований. Проектирование. Разработка. Тестирование. Опытная, промышленная эксплуатация."
Разработчик хранилищ данных / DWH-разработчик,False,null,2024-07-02 12:54,null,https://hh.ru/vacancy/103130722,БиАйЭй-Технолоджиз,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Высшее техническое образование. Опыт работы в сфере ИТ и построения КХД / DWH более 2 лет. Опыт разработки SSIS пакетов от...,"Разработка интеграций, выбор структуры хранения данных в соответствии с требованиями, формирование диаграмм данных при необходимости, обсуждение структуры данных с заинтересованными..."
Business Data Engineer,False,Таганрог,2024-06-19 14:57,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/102285136,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 1 года. Свободное владение SQL. Опыт проектирования объектов...,"Быть экспертом по данным: помогать аналитикам в решении вопросов с источниками данных, моделью данных DWH. Разрабатывать витрины в помощь аналитикам. "
Middle Инженер по сопровождению ПО (внешнеэкономическое партнерство),False,Москва,2024-06-24 17:20,null,https://hh.ru/vacancy/100733480,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Есть общее понимание архитектуры хранилищ данных. Понимаешь принципы <highlighttext>ETL</highlighttext>-процессов. Опыт <highlighttext>разработки</highlighttext> или администрирования PostgreSQL. Опыт проектирования, разработки витрин данных...",Собирать данные из различных источников Корпоративной Аналитической Платформы Банка (Облако Данных). Проектировать и разрабатывать ETL-потоки по преобразованию и загрузке...
Разработчик PowerBI (Middle),False,null,2024-07-11 11:28,null,https://hh.ru/vacancy/103231941,Т1,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,...доступны возможности консультации или делегирование части задачи по <highlighttext>ETL</highlighttext>. Опыт работы <highlighttext>разработчика</highlighttext> PowerBI. - Современный технологический стек. - Хороший work-life balance.,"Описание проекта / команды*: Кроссфункциональная команда, работающая над задачами операционного блока компании. Разработка информационных панелей (дашбордов) и процессов подготовки данных (ETL)."
Database Administrator,False,null,2024-07-10 17:33,null,https://hh.ru/vacancy/101878486,Лектон,"{'id': 'flexible', 'name': 'Гибкий график'}",False,Системный инженер,От 3 до 6 лет,Полная занятость,null,null,"Опыт работы с большими OLTP-системами, <highlighttext>ETL</highlighttext>-процессами, хранилищами данных (<highlighttext>разработка</highlighttext> и/или администрирование). Опыт работы с Unix-системами и...","Настройка производительности приложений, работающих с БД Oracle/Postgres/ClickHouse/Key-value database/Kafka. Работа с большими хранилищами данных. "
ETL разработчик (Витрины РБ),False,null,2024-07-01 09:27,null,https://hh.ru/vacancy/79525892,Т1,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Какие знания и навыки для нас важны: Опыт работы с Apache Airflow+Python. Опыт работы с Oracle, PostgreSQL, Greenplum. ","Разработкой процедур загрузки витрин данных и интеграции с сервисами розничного кредитного конвейера. Анализом производительности, масштабирование и оптимизация существующих процедур. "
Аналитик DWH / Системный аналитик,False,null,2024-07-11 11:48,null,https://hh.ru/vacancy/102086422,Дата Дженерейшн,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Системный аналитик,От 1 года до 3 лет,Полная занятость,,250000,Мы ищем командного игрока с хорошим знанием SQL. Опыт работы на проектах внедрения/развития хранилищ данных и/или Data Lake...,Проводить бизнес и системный анализа источников данных. Взаимодействовать с командой <highlighttext>ETL</highlighttext> <highlighttext>разработки</highlighttext>. Разрабатывать витрины и писать алгоритмы. Проводить функциональное тестирование...
Data engineer,False,Москва,2024-06-20 13:39,null,https://hh.ru/vacancy/101929782,Faberlic,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Опыт работы с базами данных и ETL-инструментами, включая Apache Airflow. Знание языка программирования Python и SQL на уровне эксперта. ",Разработка и оптимизация корпоративного хранилища данных. Проектирование и реализация процессов <highlighttext>ETL</highlighttext> для обеспечения интеграции данных. <highlighttext>Разработка</highlighttext> и поддержка OLAP-кубов...
"Ведущий ETL разработчик (команда ""Интеграции АСРП"")",False,null,2024-07-01 11:39,null,https://hh.ru/vacancy/100508193,Т1,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Работа c конвейером DevSecOps/инженерными инструментами Сфера. Какие знания и навыки для нас важны: Релевантный опыт работы от 3-х...,"Вакансия открыта в команде ""Интеграции АСРП (автоматизированной системы расчета премий)"". Разработка дагов на Python, Airflow. Разработка сложной логики в PostgreSQL. "
Business Data Engineer,False,Уфа,2024-07-08 11:35,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/98959838,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 1 года. Свободное владение SQL. Опыт проектирования объектов...,"Быть экспертом по данным: помогать аналитикам в решении вопросов с источниками данных, моделью данных DWH. Разрабатывать витрины в помощь аналитикам. "
Разработчик на QlikView (Дирекция планирования и финансового контроля),False,Санкт-Петербург,2024-06-24 12:38,null,https://hh.ru/vacancy/101156263,Банк Санкт-Петербург,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,"Высшее образование: математическое/экономическое/бизнес-информатика. Excel – продвинутый пользователь (сложные формулы, работа с массивами от 20 тыс строк и более...",Самостоятельная разработка новых и сопровождение существующих приложений QlikView. Автоматизация процессов <highlighttext>ETL</highlighttext> для приложений собственной <highlighttext>разработки</highlighttext>. Подготовка аналитических отчетов для принятия...
Старший разработчик DWH,False,null,2024-07-05 13:04,null,https://hh.ru/vacancy/102926532,ЭР-Телеком,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Умение проектировать базы данных. Знание OLAP- технологий. Знание современных технологий обработки данных и методологий построения DWH, процессов в области управления...","Разработка и поддержка текущих <highlighttext>ETL</highlighttext>-процессов сбора данных, <highlighttext>разработка</highlighttext> проверок качества данных, интеграция новых источников. Определение возможностей для автоматизации и..."
ETL-разработчик,False,null,2024-06-24 12:05,null,https://hh.ru/vacancy/102581607,ICL Services,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Дата-сайентист,От 3 до 6 лет,Полная занятость,null,null,Знание SQL на продвинутом уровне. Практический опыт работы в качестве <highlighttext>ETL</highlighttext>-<highlighttext>разработчика</highlighttext> от 2-х лет. Понимание принципов работы реляционных...,"Анализировать требования к витринам данных (взаимодействие с Заказчиками, BI-разработчиками, data scientist-ами). Аналитика данных в источниках и разработка целевой..."
Ведущий Data Engineer,True,null,2024-06-17 18:49,null,https://hh.ru/vacancy/95081487,AUXO (Атос АйТи Солюшенс энд Сервисез),"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Опыт работы на позиции Data Engineer (<highlighttext>ETL</highlighttext>-<highlighttext>разработчик</highlighttext>) – от 3-х лет с различными ETL средствами и оркестраторами (AirFlow, dbt...","Участие в проектах и pre-sale компании. Формирование экспертизы, прототипирование перспективных инструментов Data-инженерии. Проектирование и разработка ETL/ELT пайплайнов. "
ETL-разработчик,False,null,2024-07-02 10:03,null,https://hh.ru/vacancy/96705772,Ростелеком,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт в разработке отчетности и/или анализе данных от 3 лет. Уверенное использование Python для анализа данных. Опыт работы с...,"Создание и оптимизация процессов сбора, переработки и хранения данных. Работа с большими объемами данных и их анализ для извлечения ценной..."
Разработчик систем отчетности,False,null,2024-07-01 10:25,null,https://hh.ru/vacancy/103027678,Abi,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Уверенные знания принципов и архитектур построения хранилищ данных и BI-систем. Опыт работы в качестве системного и/или бизнес-аналитика...,"Участие в разработке <highlighttext>ETL</highlighttext>-пакетов Integration Services. <highlighttext>Разработка</highlighttext> OLAP-кубов Analysis Services (Multidimensional или Tabular). Разработка дашбордов Power BI, отчетов..."
Data engineer (DWH),False,Москва,2024-06-13 12:43,null,https://hh.ru/vacancy/99938744,ГК ФСК,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Системный инженер,От 3 до 6 лет,Полная занятость,null,null,"Комплексное понимание архитектуры аналитических решений. Понимание работы различных СУБД (SQL/NoSQL, OLTP/OLAP) и современной IT-инфраструктуры (Infrastructure as code...","Реализация, организация и поддержка объектов на всех слоях хранилища. Разработка <highlighttext>ETL</highlighttext>-пайплайнов. <highlighttext>Разработка</highlighttext> и доработка интеграционных элементов, коннекторов, внутренних сервисов. "
Solution архитектор в online кинотеатр KION,False,null,2024-07-01 12:13,null,https://hh.ru/vacancy/103039670,МТС,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Понимание архитектурных принципов построения информационных систем, а также построения интеграционных решений (SOA, микросервисы, <highlighttext>ETL</highlighttext>). Понимание особенностей <highlighttext>разработки</highlighttext> виртуализируемых высоконагруженных, территориально...",Проектирование технических решений по реализации бизнес- и функциональных требований. Оценка требований к проектируемому решению. Проектирование архитектуры ИТ систем. 
Data Engineer,False,null,2024-06-24 10:49,"{'id': '31607', 'url': 'https://hh.ru/interview/31607?employerId=2406247'}",https://hh.ru/vacancy/102572221,Selecty,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",Более 6 лет,Полная занятость,null,null,Знание теории построения DWH. <highlighttext>ETL</highlighttext> - практический опыт проектирования и <highlighttext>разработки</highlighttext> регламентных потоков данных при помощи Airflow. SQL - уверенные знания (DML...,Проектирование и разработка SQL-процедур обработчиков данных на Spark (Scala) и ETL-процессов (в т.ч. AirFlow). Оптимизация производительности кода. 
Data Engineer (VIP),False,null,2024-06-17 09:55,null,https://hh.ru/vacancy/98905857,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт работы не менее 1 года в качестве Data Engineer / Data Analyst / <highlighttext>ETL</highlighttext> <highlighttext>Developer</highlighttext>. Знание SQL на экспертном уровне (аналитические...,Проектирование и разработка аналитических витрин данных для на базе СУБД Greenplum и вывод в промышленную эксплуатацию. Разработка ETL-процессов по...
"ETL разработчик (DWH, Hadoop)",False,Москва,2024-07-09 12:04,null,https://hh.ru/vacancy/103208613,Datanomica,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,220000,280000,Знание функционального программирования. Опыт работы с базами данных (SQL/NoSQL). Понимание основных принципов RESTful API. Хорошее понимание архитектуры микросервисов. ,Участвовать в разработке крутого инструмента. Разработка и тестирование нового функционала. Оформление документации по разработанным функциям/фичам. Взаимодействовать с коллегами: как...
Business Data Engineer,False,Ростов-на-Дону,2024-07-08 11:35,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/101755163,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 1 года. Свободное владение SQL. Опыт проектирования объектов...,"Быть экспертом по данным: помогать аналитикам в решении вопросов с источниками данных, моделью данных DWH. Разрабатывать витрины в помощь аналитикам. "
Data Engineer/Data Analyst,False,null,2024-07-08 22:13,null,https://hh.ru/vacancy/101765041,Excdev,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Высшее математическое или техническое образование. - Минимум 3 года опыта работы в управлении данными, инжиниринге данных или анализе данных в сфере...","Разработка хранилищ данных, витрин данных. -Проектирование, разработка и поддержка <highlighttext>ETL</highlighttext>-процессов. -<highlighttext>Разработка</highlighttext> визуализации данных и отчетности. -Контроль качества загружаемых данных. -"
Аналитик BI,False,null,2024-07-09 13:56,null,https://hh.ru/vacancy/93589805,Гринатом,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Навыки проектирования и разработки BI/DWH/<highlighttext>ETL</highlighttext>. Навыки проектирования и <highlighttext>разработки</highlighttext> интеграции с внешними системами (SAP ERP, 1C ERP...","Уточнение требований. Проектирование. Разработка. Тестирование. Опытная, промышленная эксплуатация."
SAP BW разработчик,False,null,2024-06-17 06:20,null,https://hh.ru/vacancy/102048588,ЕВРАЗ,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,SAP Lumira. SAP Web Services. VBA для BEX/Analysis. SAP BCS.,"Построение цепочек загрузки данных, использования дельты, трансформаций различной сложности. <highlighttext>ETL</highlighttext>: <highlighttext>Разработка</highlighttext> и расширение экстракторов, трансформаций с подпрограммами. BI-IP. "
Архитектор DWH,False,null,2024-07-05 14:35,null,https://hh.ru/vacancy/101353251,ЕВРАЗ,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Высшее образование (it, техническое). Опыт проектирования и внедрения DWH в роли Архитектора DWH от 2 лет. Опыт работы с MS...",Проектирование интеграционных решений и потоков трансформации данных (<highlighttext>ETL</highlighttext>/ELT). <highlighttext>Разработка</highlighttext> технической и методологической документации DWH. Взаимодействие с Руководителями Проектов в...
ETL developer,False,null,2024-06-27 15:24,null,https://hh.ru/vacancy/102862170,USETECH,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Опыт на проектах построения хранилищ от 2 лет. Опыт продуктовой разработки слоев в проектах построения хранилищ на Greenplum, Arenadata DB...",Оптимизация существующего кода ETL-процессов. Помощь при организации тестирования <highlighttext>ETL</highlighttext>. <highlighttext>Разработка</highlighttext> и поддержка модулей PostgreSQL на языке PL/pgSQL. 
Системный аналитик DWH,False,null,2024-07-07 17:35,null,https://hh.ru/vacancy/98631291,Гринатом,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Навыки проектирования и разработки BI/DWH/<highlighttext>ETL</highlighttext>. Навыки проектирования и <highlighttext>разработки</highlighttext> интеграции с внешними системами (SAP ERP, 1C ERP...","Взаимодействие с заказчиком, сбор и анализ требований. Проектирование (баз данных, хранилищ данных (DWH)). Постановка задач разработчикам. Контроль выполнения разработок. "
Разработчик/архитектор DWH/ETL,False,null,2024-07-07 09:49,null,https://hh.ru/vacancy/96387764,Гринатом,"{'id': 'flexible', 'name': 'Гибкий график'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Навыки проектирования и разработки DWH/<highlighttext>ETL</highlighttext>/BI. - Навыки проектирования и <highlighttext>разработки</highlighttext> интеграции с внешними системами (SAP ERP, 1C ERP...",Технологический стек: - Проектирование архитектуры DWH/<highlighttext>ETL</highlighttext> и <highlighttext>разработка</highlighttext>. - Проектирование и разработка интеграционных потоков. - Оптимизация производительности. - Тестирование разработок. - Разработка и актуализация...
ETL Developer,False,null,2024-07-09 19:54,null,https://hh.ru/vacancy/101180805,ARK,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Знание принципов построения баз данных и принципов построения запросов из различных приложений к ним. Опыт разработки на языке Python, в...","Разработка процедур загрузки и обработки пользовательских файлов (Excel, JSON, CSV) с помощью языка программирования Python в среде Azure Data Bricks. "
Data-инженер,False,Краснодар,2024-06-30 08:29,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/90945312,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Свободно владеете SQL. Работали с базами данных в качестве аналитика или разработчика минимум 2 года. Понимаете теорию СУБД- и ETL...,Участвовать в формировании модели данных. Проектировать и разрабатывать витрины и потоки данных на основе потребностей бизнес-пользователей. Участвовать в проектах...
Ведущий Data Engineer,True,null,2024-06-17 18:49,null,https://hh.ru/vacancy/95081486,AUXO (Атос АйТи Солюшенс энд Сервисез),"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,null,null,"Опыт работы на позиции Data Engineer (<highlighttext>ETL</highlighttext>-<highlighttext>разработчик</highlighttext>) – от 3-х лет с различными ETL средствами и оркестраторами (AirFlow, dbt...","Участие в проектах и pre-sale компании. Формирование экспертизы, прототипирование перспективных инструментов Data-инженерии. Проектирование и разработка ETL/ELT пайплайнов. "
ETL-разработчик,False,null,2024-07-02 10:03,null,https://hh.ru/vacancy/96705771,Ростелеком,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт в разработке отчетности и/или анализе данных от 3 лет. Уверенное использование Python для анализа данных. Опыт работы с...,"Создание и оптимизация процессов сбора, переработки и хранения данных. Работа с большими объемами данных и их анализ для извлечения ценной..."
Разработчик аналитических систем,False,Екатеринбург,2024-07-04 16:25,null,https://hh.ru/vacancy/101278094,MedmaGroup,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",Более 6 лет,Полная занятость,null,null,"Знание архитектуры СУБД. Знание C#, XML, XSD,Git. Практический опыт администрирования серверов баз данных под управлением MS SQL Server. ",Управление доступами пользователей к данным. Сбор и консолидация данных с применением <highlighttext>ETL</highlighttext>-процессов. <highlighttext>Разработка</highlighttext> утилит и веб-сервисов для интеграции...
Инженер данных производственных систем,False,null,2024-07-08 23:30,null,https://hh.ru/vacancy/101174052,IKON TYRES,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Владение SQL (PostgreSQL/ClickHouse) , Python (Pandas, Numpy, SQLAlchemy). Умение организовать <highlighttext>ETL</highlighttext> – процессы, опыт <highlighttext>разработки</highlighttext> пайплайнов в NiFi. Английский язык на...","Управление ETL-процессами, а именно — сбор, обработка данных и их загрузка в базу. Очистка информации от лишних дублей, устранение ошибок. "
"ETL Разработчик (middle, senior)",False,Санкт-Петербург,2024-06-27 14:45,null,https://hh.ru/vacancy/102857950,Центральный банк Российской Федерации,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Профессиональное владение Oracle PL/SQL. Опыт оптимизации запросов. Опыт разработки <highlighttext>ETL</highlighttext> процессов. Навыки командной <highlighttext>разработки</highlighttext>. Опыт подготовки и работы с...,Наша команда развивает Единое хранилище данных по всем процессам Центрального банка Российской Федерации. В нем консолидируется почти вся информация о...
DataOps Engineer,False,null,2024-06-28 19:18,null,https://hh.ru/vacancy/100639574,BestDoctor,"{'id': 'fullDay', 'name': 'Полный день'}",False,DevOps-инженер,От 3 до 6 лет,Полная занятость,null,null,Опыт работы на позициях DataOps/DevOps+Data Engineer от 3-х лет. Опыт работы с k8s/Docker Swarm. ,"Развертывание, поддержка и мониторинг инфраструктуры для Data команды. Развертывание СI/CD процессов. Участие в разработке <highlighttext>ETL</highlighttext>-пайплайнов. Создание контуров <highlighttext>разработки</highlighttext>..."
Системный аналитик DWH,False,null,2024-07-10 12:00,null,https://hh.ru/vacancy/96741272,АЙТИ.СПЕЙС,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Системный аналитик,От 3 до 6 лет,Полная занятость,,402299,Подтвержденный опытом работы системным аналитиком от 3 лет. Высшее техническое/профильное или экономическое образование. Опытом работы с DWH. ,"Проводить финальную проверку корректности работы <highlighttext>ETL</highlighttext>-процессов после того, как <highlighttext>разработка</highlighttext> реализует их. Формировать качественные и количественные характеристики для оценки..."
DWH developer,False,Тула,2024-06-27 10:56,null,https://hh.ru/vacancy/102835794,DDPlanet,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт <highlighttext>ETL</highlighttext>/ELT <highlighttext>разработки</highlighttext> от 2-х лет. Опыт работы с Python. Опыт работы с Airflow. Опыт работы с Greenplum. ,"Развитие и сопровождение ETL/ELT процессов. Взаимодействие с внутренними заказчиками, системными аналитиками-экспертами других подразделений. Мониторинг загрузки данных. "
Разработчик OLAP-кубов (MS SSAS),False,null,2024-07-05 13:32,null,https://hh.ru/vacancy/95846482,ФТО,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Знание SQL на высоком уровне, умение писать сложные запросы. Опыт работы с T-SQL, SSIS, SSRS. Опыт построения OLAP-кубов...","Проектирование, внедрение, разработка, аудит КХД. Разработка <highlighttext>ETL</highlighttext> процессов. <highlighttext>Разработка</highlighttext> на уровне БД на SQL, T-SQL, внедрение и доработка интеграций..."
Разработчик BI (Форсайт),False,null,2024-06-20 15:15,null,https://hh.ru/vacancy/102365952,Гринатом,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Навыки проектирования и разработки BI/DWH/<highlighttext>ETL</highlighttext>/. - Навыки проектирования и <highlighttext>разработки</highlighttext> ELT. - Уверенное владение SQL. - Навыки программирования. - Опыт подготовки проектной...,"Технологический стек: - Форсайт.Аналитичская платформа. -Исследование бизнес-требований и источников данных. -Сбор данных из различных источников (PostgeSQL, API, Excel). -"
Ведущий разработчик DWH,True,null,2024-07-10 13:54,null,https://hh.ru/vacancy/95264475,БУРГЕР КИНГ РОССИЯ,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Высокий уровень владения SQL (умение оптимизировать запросы, чтение плана запроса; разработка хранимых процедур на PL/pgSQL; написание динамических SQL-запросов...","Разработка, оптимизация скриптов, представлении, хранимых процедур DWH. Реализация и развитие <highlighttext>ETL</highlighttext> процессов. Оптимизация, <highlighttext>разработка</highlighttext> потоков данных в DWH и из..."
Системный аналитик DWH,False,null,2024-07-11 09:57,null,https://hh.ru/vacancy/102291414,Т1,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Системный аналитик,От 1 года до 3 лет,Полная занятость,null,null,Высшее техническое образование. Опыт работы в роли системного аналитика от 1 года. Уверенное владение SQL. Умение формализовывать и структурировать информацию...,"Верифицировать исходные данные и полученные результаты <highlighttext>ETL</highlighttext> обработки, участвовать в <highlighttext>разработке</highlighttext> алгоритмов для вспомогательных сервисов (автоматизированный контроль данных, визуализация результатов..."
Разработчик OLAP-кубов (MS SSAS),False,null,2024-07-05 13:32,null,https://hh.ru/vacancy/98071950,ФТО,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Знание SQL на высоком уровне, умение писать сложные запросы. Опыт работы с T-SQL, SSIS, SSRS. Опыт построения OLAP-кубов...","Проектирование, внедрение, разработка, аудит КХД. Разработка <highlighttext>ETL</highlighttext> процессов. <highlighttext>Разработка</highlighttext> на уровне БД на SQL, T-SQL, внедрение и доработка интеграций..."
Data-инженер,False,null,2024-07-09 07:27,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/94207080,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Свободно владеете SQL. Работали с базами данных в качестве аналитика или разработчика минимум 2 года. Понимаете теорию СУБД- и ETL...,Участвовать в формировании модели данных. Проектировать и разрабатывать витрины и потоки данных на основе потребностей бизнес-пользователей. Участвовать в проектах...
Системный аналитик Distr,False,Пермь,2024-06-17 08:50,null,https://hh.ru/vacancy/102059357,Гриндата,"{'id': 'fullDay', 'name': 'Полный день'}",False,Системный аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Spring (Framework, Boot), React, Mobx. Кеш: Redis. 1. Образование: техническое, математическое. 2. Понимание клиент-серверной архитектуры. 3. Понимание основ баз...","Аналитическая проработка требований, формирование постановок задач разработчикам. 2. Настройка <highlighttext>ETL</highlighttext> (интеграция). 3. Приемка результатов <highlighttext>разработки</highlighttext>, контролировать процесс устранения обнаруженных несоответствий. "
ETL / DWH Developer,False,null,2024-07-10 11:31,null,https://hh.ru/vacancy/102262731,Островок,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,От 3х лет опыта работы на схожей позиции. Понимание принципов оптимизации SQL запросов. Знание Python. Знания в области архитектуры...,Подготовка витрин данных. Оптимизация SQL-запросов. Коммуникация с бизнес-аналитиками и формализация задач. Участие в улучшении архитектуры аналитического хранилища. 
